Kind,Name,AvgCountLine,AvgCountLineBlank,AvgCountLineCode,AvgCountLineComment,AvgCyclomatic,CountClassBase,CountClassCoupled,CountClassCoupledModified,CountClassDerived,CountDeclClass,CountDeclClassMethod,CountDeclClassVariable,CountDeclExecutableUnit,CountDeclFile,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclMethod,CountDeclMethodAll,CountDeclMethodPrivate,CountDeclMethodProtected,CountDeclMethodPublic,CountDeclMethodStrictPrivate,CountDeclMethodStrictPublished,CountDeclModule,CountDeclProperty,CountDeclSubprogram,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountLineInactive,CountStmt,CountStmtDecl,CountStmtExe,Cyclomatic,MaxCyclomatic,MaxInheritanceTree,MaxNesting,PercentLackOfCohesion,PercentLackOfCohesionModified,RatioCommentToCode,SumCyclomatic,CountDeclFunction,CountDeclMethodDefault,CountInput,CountOutput,CountSemicolon,CountDeclInstanceVariablePrivate,CountDeclInstanceVariableProtected,CountDeclInstanceVariablePublic,CountCCViol,CountCCViolType,CCViolDensityLine,CCViolDensityCode
Public Method,"$.event.special.bsTransitionEnd.handle",,,,,,,,,,,,,,,,,,,,,,,,,,,3,0,3,,,0,,2,0,2,2,,,1,,,,2,,,,,,,,,,,,
Public Method,"$.fn.affix.noConflict",,,,,,,,,,,,,,,,,,,,,,,,,,,4,0,4,,,0,,2,0,2,1,,,0,,,,1,,,,,,,,,,,,
Public Method,"$.fn.alert.noConflict",,,,,,,,,,,,,,,,,,,,,,,,,,,4,0,4,,,0,,2,0,2,1,,,0,,,,1,,,,,,,,,,,,
Public Method,"$.fn.button.noConflict",,,,,,,,,,,,,,,,,,,,,,,,,,,4,0,4,,,0,,2,0,2,1,,,0,,,,1,,,,,,,,,,,,
Public Method,"$.fn.carousel.noConflict",,,,,,,,,,,,,,,,,,,,,,,,,,,4,0,4,,,0,,2,0,2,1,,,0,,,,1,,,,,,,,,,,,
Public Method,"$.fn.collapse.noConflict",,,,,,,,,,,,,,,,,,,,,,,,,,,4,0,4,,,0,,2,0,2,1,,,0,,,,1,,,,,,,,,,,,
Public Method,"$.fn.dropdown.noConflict",,,,,,,,,,,,,,,,,,,,,,,,,,,4,0,4,,,0,,2,0,2,1,,,0,,,,1,,,,,,,,,,,,
Public Method,"$.fn.emulateTransitionEnd",,,,,,,,,,,,,,,,,,,,,,,,,,,8,0,8,,,0,,9,3,6,1,,,0,,,,4,,,,,,,,,,,,
Unnamed Function,"$.fn.emulateTransitionEnd.(unnamed_function_3)",,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,1,,,0,,1,0,1,1,,,0,,,,1,,,,,,,,,,,,
Function,"$.fn.emulateTransitionEnd.callback",,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,1,,,0,,2,0,2,2,,,1,,,,2,,,,,,,,,,,,
Public Method,"$.fn.modal.noConflict",,,,,,,,,,,,,,,,,,,,,,,,,,,4,0,4,,,0,,2,0,2,1,,,0,,,,1,,,,,,,,,,,,
Public Method,"$.fn.popover.noConflict",,,,,,,,,,,,,,,,,,,,,,,,,,,4,0,4,,,0,,2,0,2,1,,,0,,,,1,,,,,,,,,,,,
Public Method,"$.fn.scrollspy.noConflict",,,,,,,,,,,,,,,,,,,,,,,,,,,4,0,4,,,0,,2,0,2,1,,,0,,,,1,,,,,,,,,,,,
Public Method,"$.fn.tab.noConflict",,,,,,,,,,,,,,,,,,,,,,,,,,,4,0,4,,,0,,2,0,2,1,,,0,,,,1,,,,,,,,,,,,
Public Method,"$.fn.tooltip.noConflict",,,,,,,,,,,,,,,,,,,,,,,,,,,4,0,4,,,0,,2,0,2,1,,,0,,,,1,,,,,,,,,,,,
Public Method,"$interpolate.endSymbol",,,,,,,,,,,,,,,,,,,,,,,,,,,3,0,3,,,0,,1,0,1,1,,,0,,,,1,,,,,,,,,,,,
Public Method,"$interpolate.startSymbol",,,,,,,,,,,,,,,,,,,,,,,,,,,3,0,3,,,0,,1,0,1,1,,,0,,,,1,,,,,,,,,,,,
Public Method,"$interpolateMinErr.interr",,,,,,,,,,,,,,,,,,,,,,,,,,,3,0,3,,,0,,1,0,1,1,,,0,,,,1,,,,,,,,,,,,
Public Method,"$interpolateMinErr.throwNoconcat",,,,,,,,,,,,,,,,,,,,,,,,,,,6,0,6,,,0,,1,0,1,1,,,0,,,,1,,,,,,,,,,,,
Public Method,"$parse.$$runningExpensiveChecks",,,,,,,,,,,,,,,,,,,,,,,,,,,3,0,3,,,0,,1,0,1,1,,,0,,,,1,,,,,,,,,,,,
Public Method,"$scope.addConfig",,,,,,,,,,,,,,,,,,,,,,,,,,,36,3,32,,,1,,14,1,14,1,,,0,,,,6,,,,,,,,,,,,
Public Method,"$scope.addConfig.onCancel",,,,,,,,,,,,,,,,,,,,,,,,,,,3,1,2,,,0,,0,0,0,1,,,0,,,,1,,,,,,,,,,,,
Public Method,"$scope.addConfig.onConfirm",,,,,,,,,,,,,,,,,,,,,,,,,,,23,0,22,,,1,,10,1,10,1,,,0,,,,4,,,,,,,,,,,,
Unnamed Function,"$scope.addConfig.onConfirm.(unnamed_function_10)",,,,,,,,,,,,,,,,,,,,,,,,,,,8,0,8,,,0,,4,0,4,2,,,1,,,,2,,,,,,,,,,,,
Unnamed Function,"$scope.addConfig.onConfirm.(unnamed_function_11)",,,,,,,,,,,,,,,,,,,,,,,,,,,2,0,2,,,0,,1,0,1,1,,,0,,,,1,,,,,,,,,,,,
Public Method,"$scope.addContact",,,,,,,,,,,,,,,,,,,,,,,,,,,44,2,40,,,2,,20,1,20,1,,,0,,,,7,,,,,,,,,,,,
Public Method,"$scope.addContact.onCancel",,,,,,,,,,,,,,,,,,,,,,,,,,,3,0,2,,,1,,0,0,0,1,,,0,,,,1,,,,,,,,,,,,
Public Method,"$scope.addContact.onConfirm",,,,,,,,,,,,,,,,,,,,,,,,,,,29,0,28,,,1,,14,1,14,2,,,1,,,,5,,,,,,,,,,,,
Unnamed Function,"$scope.addContact.onConfirm.(unnamed_function_10)",,,,,,,,,,,,,,,,,,,,,,,,,,,8,0,8,,,0,,4,0,4,2,,,1,,,,2,,,,,,,,,,,,
Unnamed Function,"$scope.addContact.onConfirm.(unnamed_function_11)",,,,,,,,,,,,,,,,,,,,,,,,,,,2,0,2,,,0,,1,0,1,1,,,0,,,,1,,,,,,,,,,,,
Public Method,"$scope.addNewOrder",,,,,,,,,,,,,,,,,,,,,,,,,,,43,0,43,,,0,,8,0,8,1,,,0,,,,6,,,,,,,,,,,,
Public Method,"$scope.addNewOrder.onCancel",,,,,,,,,,,,,,,,,,,,,,,,,,,3,0,3,,,0,,1,0,1,1,,,0,,,,1,,,,,,,,,,,,
Public Method,"$scope.addNewOrder.onConfirm",,,,,,,,,,,,,,,,,,,,,,,,,,,35,0,35,,,0,,6,0,6,1,,,0,,,,4,,,,,,,,,,,,
Unnamed Function,"$scope.addNewOrder.onConfirm.(unnamed_function_6)",,,,,,,,,,,,,,,,,,,,,,,,,,,9,0,9,,,0,,4,0,4,2,,,1,,,,2,,,,,,,,,,,,
Unnamed Function,"$scope.addNewOrder.onConfirm.(unnamed_function_7)",,,,,,,,,,,,,,,,,,,,,,,,,,,2,0,2,,,0,,1,0,1,1,,,0,,,,1,,,,,,,,,,,,
Public Method,"$scope.addNewRoute",,,,,,,,,,,,,,,,,,,,,,,,,,,32,0,32,,,0,,8,0,8,1,,,0,,,,6,,,,,,,,,,,,
Public Method,"$scope.addNewRoute.onCancel",,,,,,,,,,,,,,,,,,,,,,,,,,,3,0,3,,,0,,1,0,1,1,,,0,,,,1,,,,,,,,,,,,
Public Method,"$scope.addNewRoute.onConfirm",,,,,,,,,,,,,,,,,,,,,,,,,,,24,0,24,,,0,,6,0,6,1,,,0,,,,4,,,,,,,,,,,,
Unnamed Function,"$scope.addNewRoute.onConfirm.(unnamed_function_5)",,,,,,,,,,,,,,,,,,,,,,,,,,,9,0,9,,,0,,4,0,4,2,,,1,,,,2,,,,,,,,,,,,
Unnamed Function,"$scope.addNewRoute.onConfirm.(unnamed_function_6)",,,,,,,,,,,,,,,,,,,,,,,,,,,2,0,2,,,0,,1,0,1,1,,,0,,,,1,,,,,,,,,,,,
Public Method,"$scope.addNewTravel",,,,,,,,,,,,,,,,,,,,,,,,,,,32,0,32,,,0,,8,0,8,1,,,0,,,,6,,,,,,,,,,,,
Public Method,"$scope.addNewTravel.onCancel",,,,,,,,,,,,,,,,,,,,,,,,,,,3,0,3,,,0,,1,0,1,1,,,0,,,,1,,,,,,,,,,,,
Public Method,"$scope.addNewTravel.onConfirm",,,,,,,,,,,,,,,,,,,,,,,,,,,24,0,24,,,0,,6,0,6,1,,,0,,,,4,,,,,,,,,,,,
Unnamed Function,"$scope.addNewTravel.onConfirm.(unnamed_function_6)",,,,,,,,,,,,,,,,,,,,,,,,,,,9,0,9,,,0,,4,0,4,2,,,1,,,,2,,,,,,,,,,,,
Unnamed Function,"$scope.addNewTravel.onConfirm.(unnamed_function_7)",,,,,,,,,,,,,,,,,,,,,,,,,,,2,0,2,,,0,,1,0,1,1,,,0,,,,1,,,,,,,,,,,,
Public Method,"$scope.addNewUser",,,,,,,,,,,,,,,,,,,,,,,,,,,34,0,34,,,0,,8,0,8,1,,,0,,,,6,,,,,,,,,,,,
Public Method,"$scope.addNewUser.onCancel",,,,,,,,,,,,,,,,,,,,,,,,,,,3,0,3,,,0,,1,0,1,1,,,0,,,,1,,,,,,,,,,,,
Public Method,"$scope.addNewUser.onConfirm",,,,,,,,,,,,,,,,,,,,,,,,,,,26,0,26,,,0,,6,0,6,1,,,0,,,,4,,,,,,,,,,,,
Unnamed Function,"$scope.addNewUser.onConfirm.(unnamed_function_6)",,,,,,,,,,,,,,,,,,,,,,,,,,,9,0,9,,,0,,4,0,4,2,,,1,,,,2,,,,,,,,,,,,
Unnamed Function,"$scope.addNewUser.onConfirm.(unnamed_function_7)",,,,,,,,,,,,,,,,,,,,,,,,,,,2,0,2,,,0,,1,0,1,1,,,0,,,,1,,,,,,,,,,,,
Public Method,"$scope.addPrice",,,,,,,,,,,,,,,,,,,,,,,,,,,41,2,38,,,1,,18,1,18,1,,,0,,,,7,,,,,,,,,,,,
Public Method,"$scope.addPrice.onCancel",,,,,,,,,,,,,,,,,,,,,,,,,,,3,1,2,,,0,,0,0,0,1,,,0,,,,1,,,,,,,,,,,,
Public Method,"$scope.addPrice.onConfirm",,,,,,,,,,,,,,,,,,,,,,,,,,,28,0,27,,,1,,13,1,13,2,,,1,,,,5,,,,,,,,,,,,
Unnamed Function,"$scope.addPrice.onConfirm.(unnamed_function_10)",,,,,,,,,,,,,,,,,,,,,,,,,,,8,0,8,,,0,,4,0,4,2,,,1,,,,2,,,,,,,,,,,,
Unnamed Function,"$scope.addPrice.onConfirm.(unnamed_function_11)",,,,,,,,,,,,,,,,,,,,,,,,,,,2,0,2,,,0,,1,0,1,1,,,0,,,,1,,,,,,,,,,,,
Public Method,"$scope.addStation",,,,,,,,,,,,,,,,,,,,,,,,,,,40,3,36,,,1,,16,1,16,1,,,0,,,,7,,,,,,,,,,,,
Public Method,"$scope.addStation.onCancel",,,,,,,,,,,,,,,,,,,,,,,,,,,3,1,2,,,0,,0,0,0,1,,,0,,,,1,,,,,,,,,,,,
Public Method,"$scope.addStation.onConfirm",,,,,,,,,,,,,,,,,,,,,,,,,,,27,0,26,,,1,,12,1,12,2,,,1,,,,5,,,,,,,,,,,,
Unnamed Function,"$scope.addStation.onConfirm.(unnamed_function_10)",,,,,,,,,,,,,,,,,,,,,,,,,,,8,0,8,,,0,,4,0,4,2,,,1,,,,2,,,,,,,,,,,,
Unnamed Function,"$scope.addStation.onConfirm.(unnamed_function_11)",,,,,,,,,,,,,,,,,,,,,,,,,,,2,0,2,,,0,,1,0,1,1,,,0,,,,1,,,,,,,,,,,,
Public Method,"$scope.addTrain",,,,,,,,,,,,,,,,,,,,,,,,,,,42,3,38,,,1,,18,1,18,1,,,0,,,,7,,,,,,,,,,,,
Public Method,"$scope.addTrain.onCancel",,,,,,,,,,,,,,,,,,,,,,,,,,,3,1,2,,,0,,0,0,0,1,,,0,,,,1,,,,,,,,,,,,
Public Method,"$scope.addTrain.onConfirm",,,,,,,,,,,,,,,,,,,,,,,,,,,28,0,27,,,1,,13,1,13,2,,,1,,,,5,,,,,,,,,,,,
Unnamed Function,"$scope.addTrain.onConfirm.(unnamed_function_10)",,,,,,,,,,,,,,,,,,,,,,,,,,,8,0,8,,,0,,4,0,4,2,,,1,,,,2,,,,,,,,,,,,
Unnamed Function,"$scope.addTrain.onConfirm.(unnamed_function_11)",,,,,,,,,,,,,,,,,,,,,,,,,,,2,0,2,,,0,,1,0,1,1,,,0,,,,1,,,,,,,,,,,,
Public Method,"$scope.decodeInfo",,,,,,,,,,,,,,,,,,,,,,,,,,,7,0,7,,,0,,4,1,3,2,,,1,,,,2,,,,,,,,,,,,
Public Method,"$scope.decodeInfo",,,,,,,,,,,,,,,,,,,,,,,,,,,7,0,7,,,0,,4,1,3,2,,,1,,,,2,,,,,,,,,,,,
Public Method,"$scope.decodeInfo",,,,,,,,,,,,,,,,,,,,,,,,,,,7,0,7,,,0,,4,1,3,2,,,1,,,,2,,,,,,,,,,,,
Public Method,"$scope.decodeInfo",,,,,,,,,,,,,,,,,,,,,,,,,,,7,0,7,,,0,,4,1,3,2,,,1,,,,2,,,,,,,,,,,,
Public Method,"$scope.decodeInfo",,,,,,,,,,,,,,,,,,,,,,,,,,,7,0,7,,,0,,4,1,3,2,,,1,,,,2,,,,,,,,,,,,
Public Method,"$scope.deleteConfig",,,,,,,,,,,,,,,,,,,,,,,,,,,26,1,24,,,1,,7,0,7,1,,,0,,,,6,,,,,,,,,,,,
Public Method,"$scope.deleteConfig.onCancel",,,,,,,,,,,,,,,,,,,,,,,,,,,3,1,2,,,0,,0,0,0,1,,,0,,,,1,,,,,,,,,,,,
Public Method,"$scope.deleteConfig.onConfirm",,,,,,,,,,,,,,,,,,,,,,,,,,,17,0,17,,,0,,6,0,6,1,,,0,,,,4,,,,,,,,,,,,
Unnamed Function,"$scope.deleteConfig.onConfirm.(unnamed_function_6)",,,,,,,,,,,,,,,,,,,,,,,,,,,8,0,8,,,0,,4,0,4,2,,,1,,,,2,,,,,,,,,,,,
Unnamed Function,"$scope.deleteConfig.onConfirm.(unnamed_function_7)",,,,,,,,,,,,,,,,,,,,,,,,,,,2,0,2,,,0,,1,0,1,1,,,0,,,,1,,,,,,,,,,,,
Public Method,"$scope.deleteContact",,,,,,,,,,,,,,,,,,,,,,,,,,,28,1,24,,,3,,7,0,7,1,,,0,,,,6,,,,,,,,,,,,
Public Method,"$scope.deleteContact.onCancel",,,,,,,,,,,,,,,,,,,,,,,,,,,3,1,2,,,0,,0,0,0,1,,,0,,,,1,,,,,,,,,,,,
Public Method,"$scope.deleteContact.onConfirm",,,,,,,,,,,,,,,,,,,,,,,,,,,19,0,17,,,2,,6,0,6,1,,,0,,,,4,,,,,,,,,,,,
Unnamed Function,"$scope.deleteContact.onConfirm.(unnamed_function_6)",,,,,,,,,,,,,,,,,,,,,,,,,,,8,0,8,,,0,,4,0,4,2,,,1,,,,2,,,,,,,,,,,,
Unnamed Function,"$scope.deleteContact.onConfirm.(unnamed_function_7)",,,,,,,,,,,,,,,,,,,,,,,,,,,2,0,2,,,0,,1,0,1,1,,,0,,,,1,,,,,,,,,,,,
Public Method,"$scope.deleteOrder",,,,,,,,,,,,,,,,,,,,,,,,,,,27,0,26,,,1,,8,0,8,1,,,0,,,,6,,,,,,,,,,,,
Public Method,"$scope.deleteOrder.onCancel",,,,,,,,,,,,,,,,,,,,,,,,,,,3,0,3,,,0,,1,0,1,1,,,0,,,,1,,,,,,,,,,,,
Public Method,"$scope.deleteOrder.onConfirm",,,,,,,,,,,,,,,,,,,,,,,,,,,18,0,18,,,0,,6,0,6,1,,,0,,,,4,,,,,,,,,,,,
Unnamed Function,"$scope.deleteOrder.onConfirm.(unnamed_function_10)",,,,,,,,,,,,,,,,,,,,,,,,,,,9,0,9,,,0,,4,0,4,2,,,1,,,,2,,,,,,,,,,,,
Unnamed Function,"$scope.deleteOrder.onConfirm.(unnamed_function_11)",,,,,,,,,,,,,,,,,,,,,,,,,,,2,0,2,,,0,,1,0,1,1,,,0,,,,1,,,,,,,,,,,,
Public Method,"$scope.deletePrice",,,,,,,,,,,,,,,,,,,,,,,,,,,33,1,31,,,1,,7,0,7,1,,,0,,,,6,,,,,,,,,,,,
Public Method,"$scope.deletePrice.onCancel",,,,,,,,,,,,,,,,,,,,,,,,,,,3,1,2,,,0,,0,0,0,1,,,0,,,,1,,,,,,,,,,,,
Public Method,"$scope.deletePrice.onConfirm",,,,,,,,,,,,,,,,,,,,,,,,,,,24,0,24,,,0,,6,0,6,1,,,0,,,,4,,,,,,,,,,,,
Unnamed Function,"$scope.deletePrice.onConfirm.(unnamed_function_6)",,,,,,,,,,,,,,,,,,,,,,,,,,,8,0,8,,,0,,4,0,4,2,,,1,,,,2,,,,,,,,,,,,
Unnamed Function,"$scope.deletePrice.onConfirm.(unnamed_function_7)",,,,,,,,,,,,,,,,,,,,,,,,,,,2,0,2,,,0,,1,0,1,1,,,0,,,,1,,,,,,,,,,,,
Public Method,"$scope.deleteRoute",,,,,,,,,,,,,,,,,,,,,,,,,,,27,0,26,,,1,,8,0,8,1,,,0,,,,6,,,,,,,,,,,,
Public Method,"$scope.deleteRoute.onCancel",,,,,,,,,,,,,,,,,,,,,,,,,,,3,0,3,,,0,,1,0,1,1,,,0,,,,1,,,,,,,,,,,,
Public Method,"$scope.deleteRoute.onConfirm",,,,,,,,,,,,,,,,,,,,,,,,,,,18,0,18,,,0,,6,0,6,1,,,0,,,,4,,,,,,,,,,,,
Unnamed Function,"$scope.deleteRoute.onConfirm.(unnamed_function_10)",,,,,,,,,,,,,,,,,,,,,,,,,,,2,0,2,,,0,,1,0,1,1,,,0,,,,1,,,,,,,,,,,,
Unnamed Function,"$scope.deleteRoute.onConfirm.(unnamed_function_9)",,,,,,,,,,,,,,,,,,,,,,,,,,,9,0,9,,,0,,4,0,4,2,,,1,,,,2,,,,,,,,,,,,
Public Method,"$scope.deleteStation",,,,,,,,,,,,,,,,,,,,,,,,,,,31,1,29,,,1,,7,0,7,1,,,0,,,,6,,,,,,,,,,,,
Public Method,"$scope.deleteStation.onCancel",,,,,,,,,,,,,,,,,,,,,,,,,,,3,1,2,,,0,,0,0,0,1,,,0,,,,1,,,,,,,,,,,,
Public Method,"$scope.deleteStation.onConfirm",,,,,,,,,,,,,,,,,,,,,,,,,,,22,0,22,,,0,,6,0,6,1,,,0,,,,4,,,,,,,,,,,,
Unnamed Function,"$scope.deleteStation.onConfirm.(unnamed_function_6)",,,,,,,,,,,,,,,,,,,,,,,,,,,8,0,8,,,0,,4,0,4,2,,,1,,,,2,,,,,,,,,,,,
Unnamed Function,"$scope.deleteStation.onConfirm.(unnamed_function_7)",,,,,,,,,,,,,,,,,,,,,,,,,,,2,0,2,,,0,,1,0,1,1,,,0,,,,1,,,,,,,,,,,,
